Oil: Refinery Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,50,79,162,170,180,288,303,490,700,956,923,918,918,958,960,1063,1063,1073,1083,1083,1043,973,903,881,891,933,1031,1056,1098,1133,1175,1175,1200,1220,690,1340,1365,1393,1393,1406,1420,1422,1427,1427,1427,1427,1427,1422,1414,1514,1514,_,1.6%,
South Korea,33,38,57,114,171,209,257,380,380,418,418,418,380,551,551,608,751,751,751,751,751,751,751,751,798,798,983,1591,1591,1615,1727,2316,2316,2316,2316,2316,2316,2316,2316,2598,2598,2633,2679,2712,2746,2774,2864,2878,2878,3110,3110,_,3.2%,
Taiwan,46,50,50,103,103,103,122,193,193,288,274,369,464,447,447,542,542,542,542,542,570,570,570,570,570,570,570,570,570,570,732,732,732,732,732,732,874,1159,1159,1159,1159,1140,1197,1197,1197,1197,1197,1197,1197,1197,988,-17.5%,1.0%,
Thailand,45,45,45,45,63,122,122,153,153,153,153,153,153,166,171,177,177,177,177,177,166,179,179,179,222,222,222,410,450,477,477,818,867,884,899,899,1064,1068,1068,1068,1078,1100,1100,1165,1236,1230,1230,1230,1237,1252,1252,_,1.3%,
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,3,8,8,8,8,8,11,11,11,11,11,159,159,159,159,159,159,159,_,0.2%,
Other Asia Pacific,25,25,25,25,63,63,63,93,93,96,96,96,136,134,142,178,192,217,226,226,183,183,184,185,185,185,187,187,187,187,187,187,187,187,187,185,185,179,180,213,212,212,212,214,219,219,220,220,226,233,233,_,0.2%,
Total Asia Pacific,3600,4010,4329,5083,5778,6588,7328,8787,9691,10628,10844,11339,11627,11856,11854,12378,12563,12999,12203,12542,12695,12670,12586,12547,12812,13344,13831,14869,15449,16084,17154,18416,19032,19469,20615,21304,21680,22630,22764,23629,24300,25515,26100,26564,27768,28477,29094,30590,32043,32682,32554,-0.4%,33.5%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,34777,37812,40915,44077,47360,51663,55720,59913,64483,68381,70811,74117,76298,77048,77614,78959,78145,76111,73717,73498,72475,72521,73545,73042,73944,73952,73986,73801,74277,75214,75719,77170,78248,79549,81324,82002,82931,83949,84479,85517,86562,88173,88746,89521,90570,91341,92110,93133,95065,96772,97227,0.5%,100.0%,
of which: OECD,22852,24908,27411,29508,31967,34591,37181,39665,42659,44647,46287,48391,48830,49312,49291,49836,48739,46093,43073,41926,41016,40697,41219,40543,40500,40582,40985,41033,40899,41612,41715,42522,43033,43938,44303,44448,44402,44552,44625,44973,45139,45396,45506,45724,45503,45071,44959,44810,44314,43912,44120,0.5%,45.4%,
                 Non-OECD,11925,12904,13504,14569,15393,17072,18538,20249,21824,23734,24524,25726,27468,27736,28323,29123,29406,30018,30644,31571,31458,31824,32326,32499,33444,33371,33001,32768,33378,33603,34004,34648,35215,35611,37021,37554,38528,39397,39853,40544,41423,42778,43240,43797,45067,46270,47151,48323,50751,52860,53107,0.5%,54.6%,
                 European Union #,8413,9908,11370,12507,14051,15119,16600,17705,19127,20122,21104,21915,21729,21480,20794,20750,20238,18596,17425,16801,16102,15757,15665,15509,15338,15546,15655,15403,15225,15392,15320,15343,15475,15533,15582,15590,15679,15764,15794,15867,15922,15991,15772,15800,15525,15283,15201,14641,14247,14134,14124,-0.1%,14.5%,
